,# Cores,1,2,3,4,5,6,7,8
,0,0.673,0.460,0.322,0.260,0.301,0.279,0.252,0.250
,1,0.670,0.445,0.315,0.261,0.301,0.278,0.250,0.248
,2,0.671,0.442,0.311,0.264,0.299,0.277,0.247,0.243
,3,0.670,0.448,0.310,0.263,0.300,0.271,0.247,0.250
,4,0.677,0.446,0.314,0.259,0.298,0.271,0.248,0.241
,5,0.670,0.447,0.311,0.259,0.305,0.270,0.248,0.246
,6,0.670,0.439,0.313,0.264,0.299,0.275,0.245,0.243
,7,0.670,0.450,0.314,0.266,0.296,0.276,0.247,0.246
,8,0.670,0.449,0.315,0.258,0.300,0.277,0.251,0.242
,9,0.669,0.443,0.313,0.271,0.304,0.281,0.245,0.243
,10,0.670,0.440,0.330,0.263,0.298,0.275,0.241,0.244
,11,0.671,0.442,0.317,0.258,0.307,0.278,0.248,0.243
,12,0.670,0.445,0.310,0.259,0.302,0.278,0.247,0.242
,13,0.677,0.442,0.314,0.274,0.296,0.285,0.245,0.246
,14,0.674,0.444,0.313,0.266,0.302,0.275,0.241,0.240
,15,0.670,0.441,0.321,0.262,0.295,0.274,0.244,0.242
,16,0.670,0.446,0.321,0.261,0.303,0.273,0.247,0.244
,17,0.670,0.440,0.313,0.263,0.310,0.278,0.248,0.242
,18,0.670,0.445,0.315,0.265,0.300,0.277,0.241,0.244
,19,0.671,0.447,0.309,0.268,0.300,0.272,0.248,0.244
,Seconds/alpha,0.671,0.445,0.315,0.263,0.301,0.276,0.246,0.244
,Error (stdev),0.002,0.005,0.005,0.004,0.004,0.004,0.003,0.003
,,,,,,,,,
,Speedup,1.000,1.508,2.131,2.549,2.231,2.432,2.724,2.749
,Error in speedup,0.005,0.016,0.035,0.042,0.029,0.033,0.034,0.032
,,,,,,,,,
200,Seconds/alpha/timestep,0.003,0.002,0.002,0.001,0.002,0.001,0.001,0.001
,Error,1E-05,2E-05,3E-05,2E-05,2E-05,2E-05,1E-05,1E-05
